23-6-2021 21:02:53 -  count=14 step=1 time=72417552 y=728 y_last=728
23-6-2021 21:02:53 - Ch=3 size=394 tt=20:06:57.552 x=0 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=416 tt=20:06:57.552 x=112 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=474 tt=20:06:57.552 x=224 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=492 tt=20:06:57.552 x=336 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=414 tt=20:06:57.552 x=448 Q.f=65520 Q.v=97
23-6-2021 21:02:53 - Ch=3 size=380 tt=20:06:57.552 x=560 Q.f=65520 Q.v=96
23-6-2021 21:02:53 - Ch=3 size=344 tt=20:06:57.552 x=672 Q.f=65520 Q.v=95
23-6-2021 21:02:53 - Ch=3 size=288 tt=20:06:57.552 x=784 Q.f=65520 Q.v=94
23-6-2021 21:02:53 - Ch=3 size=258 tt=20:06:57.552 x=896 Q.f=65520 Q.v=93
23-6-2021 21:02:53 - Ch=3 size=318 tt=20:06:57.552 x=1008 Q.f=65520 Q.v=92
23-6-2021 21:02:53 - Ch=3 size=222 tt=20:06:57.552 x=1120 Q.f=65520 Q.v=91
23-6-2021 21:02:53 - Ch=3 size=314 tt=20:06:57.552 x=1232 Q.f=65520 Q.v=90
23-6-2021 21:02:53 - Ch=3 size=286 tt=20:06:57.552 x=1344 Q.f=65520 Q.v=89
23-6-2021 21:02:53 - Ch=3 size=330 tt=20:06:57.552 x=1456 Q.f=65520 Q.v=88
23-6-2021 21:02:53 -  count=14 step=1 time=72418784 y=736 y_last=736
23-6-2021 21:02:53 - Ch=3 size=548 tt=20:06:58.784 x=0 Q.f=65520 Q.v=100
23-6-2021 21:02:53 - Ch=3 size=544 tt=20:06:58.784 x=112 Q.f=65520 Q.v=100
23-6-2021 21:02:53 - Ch=3 size=636 tt=20:06:58.784 x=224 Q.f=65520 Q.v=100
23-6-2021 21:02:53 - Ch=3 size=572 tt=20:06:58.784 x=336 Q.f=65520 Q.v=99
23-6-2021 21:02:53 - Ch=3 size=476 tt=20:06:58.784 x=448 Q.f=65520 Q.v=98
23-6-2021 21:02:53 - Ch=3 size=404 tt=20:06:58.784 x=560 Q.f=65520 Q.v=97
